NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUPLENTE,CIRCUNSCRIPCION_ELECCION,SEXO_PROP,SEXO_SUP
PARTIDO ACCIÓN NACIONAL,31,DIPUTADO FEDERAL RP,GERALDO GERALDO DALIA GUADALUPE,LORETO VALADEZ KAREN YADIRA,I,M,M
PARTIDO ACCIÓN NACIONAL,32,DIPUTADO FEDERAL RP,SALAZAR GALAZ LEONARDO,FIGUEROA ROBLES ALDO ARMANDO,I,H,H
PARTIDO ACCIÓN NACIONAL,33,DIPUTADO FEDERAL RP,MORALES ESPERICUETA NADIA EDITH,SUAREZ CHAVEZ ROSA MARIA,I,M,M
PARTIDO ACCIÓN NACIONAL,34,DIPUTADO FEDERAL RP,GONZALEZ NUÑEZ MARCOS FRANCISCO,GONZALEZ LUNA MEDINA CARLOS GUILLERMO,I,H,H
PARTIDO ACCIÓN NACIONAL,35,DIPUTADO FEDERAL RP,OLOÑO MORALES CZARINA,RAMIREZ BATISTA MARTHA ELENA,I,M,M
PARTIDO ACCIÓN NACIONAL,36,DIPUTADO FEDERAL RP,OLACHEA CASTRO MIGUEL FERNANDO,AMADOR CONTRERAS FEDERICO,I,H,H
PARTIDO ACCIÓN NACIONAL,37,DIPUTADO FEDERAL RP,RAMOS HERNANDEZ MARIA EMILIA,MUÑOZ MORA SAMANTHA CORAL,I,M,M
PARTIDO ACCIÓN NACIONAL,38,DIPUTADO FEDERAL RP,QUINTERO ORTIZ SERGIO FRANCISCO,ARREOLA BAÑUELOS JOSE ANGEL,I,H,H
PARTIDO ACCIÓN NACIONAL,39,DIPUTADO FEDERAL RP,ESCOBAR PERALTA JOSEFA,JOFFROY ROMERO MARTHA ELENA,I,M,M
PARTIDO ACCIÓN NACIONAL,40,DIPUTADO FEDERAL RP,MALDONADO ESCALANTE DAMIAN GUADALUPE,MOLINA GRACIA MANUEL IGNACIO,I,H,H
PARTIDO ACCIÓN NACIONAL,1,DIPUTADO FEDERAL RP,GRACIA GUZMÁN RAÚL,MACÍAS CANALES TOMAS DAVID,II,H,H
PARTIDO ACCIÓN NACIONAL,2,DIPUTADO FEDERAL RP,TORRES PEIMBERT MARIA MARCELA,GATICA GARZA MARIA FERNANDA,II,M,M
PARTIDO ACCIÓN NACIONAL,3,DIPUTADO FEDERAL RP,TREJO REYES JOSE ISABEL,RODRIGUEZ MEDINA GABRIEL,II,H,H
PARTIDO ACCIÓN NACIONAL,4,DIPUTADO FEDERAL RP,MARTINEZ JUAREZ JACQUELINA,BARRIOS VENEGAS SOLEDAD,II,M,M
PARTIDO ACCIÓN NACIONAL,5,DIPUTADO FEDERAL RP,AGUILAR VEGA MARCOS,ALARCON NEVE JORGE LUIS,II,H,H
PARTIDO ACCIÓN NACIONAL,6,DIPUTADO FEDERAL RP,GARFIAS CEDILLO SYLVIA VIOLETA,DE LA TORRE DELGADO MARIA FERNANDA,II,M,M
PARTIDO ACCIÓN NACIONAL,7,DIPUTADO FEDERAL RP,PEREZ DIAZ VICTOR MANUEL,BUENO LOZANO EUGENIO,II,H,H
PARTIDO ACCIÓN NACIONAL,8,DIPUTADO FEDERAL RP,ALEMAN HERNANDEZ NOHEMI,LAGUNAS CUELLAR PRISCILLA HAYDEE,II,M,M
PARTIDO ACCIÓN NACIONAL,9,DIPUTADO FEDERAL RP,AZUARA ZUÑIGA XAVIER,SANCHEZ RAMIRO ADRIAN,II,H,H
PARTIDO ACCIÓN NACIONAL,10,DIPUTADO FEDERAL RP,GARZA GALVÁN SILVIA GUADALUPE,BALDERAS Y ROBLES CONCEPCIÓN,II,M,M
PARTIDO ACCIÓN NACIONAL,11,DIPUTADO FEDERAL RP,TORRES GRACIANO FERNANDO,CHAIRE CHAVERO EDGARDO,II,H,H
PARTIDO ACCIÓN NACIONAL,12,DIPUTADO FEDERAL RP,GUERRA VILLARREAL ISABEL MARGARITA,ROBLEDO SUAREZ CECILIA SOFIA,II,M,M
PARTIDO ACCIÓN NACIONAL,13,DIPUTADO FEDERAL RP,MUÑOZ MARQUEZ JUAN CARLOS,CINTA RODRIGUEZ CARLOS ELIHER,II,H,H
PARTIDO ACCIÓN NACIONAL,14,DIPUTADO FEDERAL RP,PULIDO LOPEZ ANABEL,GODOY ARIAS MONICA,II,M,M
PARTIDO ACCIÓN NACIONAL,15,DIPUTADO FEDERAL RP,HERRERA AVILA FERNANDO,MARTIN DEL CAMPO MORENO JUAN ANTONIO,II,H,H
PARTIDO ACCIÓN NACIONAL,16,DIPUTADO FEDERAL RP,ARGUELLO ACOSTA LIDIA,TORO REYNA ELIA KORINA,II,M,M
PARTIDO ACCIÓN NACIONAL,17,DIPUTADO FEDERAL RP,PÉREZ RIVERA EVARISTO LENIN,GONZÁLEZ MORALES BERNARDO,II,H,H
PARTIDO ACCIÓN NACIONAL,18,DIPUTADO FEDERAL RP,LOPEZ SOSA MARIELA,CEPEDA RODRIGUEZ LIDIA YANETTE,II,M,M
PARTIDO ACCIÓN NACIONAL,19,DIPUTADO FEDERAL RP,DE LEON TELLO JESUS,AMARO GONZALEZ JUAN FRANCISCO,II,H,H
PARTIDO ACCIÓN NACIONAL,20,DIPUTADO FEDERAL RP,VALDIVIA LOPEZ MYRNA FABIOLA,RAMIREZ FLORES HORTENCIA LETICIA,II,M,M
PARTIDO ACCIÓN NACIONAL,21,DIPUTADO FEDERAL RP,PEREZ RECIO JESUS ANDRES,TORRES LEAL VICTOR MANUEL,II,H,H
PARTIDO ACCIÓN NACIONAL,22,DIPUTADO FEDERAL RP,GUTIERREZ LEANO KATHYA ANDREA,GUTIERREZ GONZALEZ JUANA,II,M,M
PARTIDO ACCIÓN NACIONAL,23,DIPUTADO FEDERAL RP,BARREAL VALENZUELA OSMAR SANDIEL,SANDOVAL MAYA ARTURO,II,H,H
PARTIDO ACCIÓN NACIONAL,24,DIPUTADO FEDERAL RP,VARGAS ZAMARRON MARGARITA,AGUILAR DIAZ IMELDA,II,M,M
PARTIDO ACCIÓN NACIONAL,25,DIPUTADO FEDERAL RP,ASCENCIO LANGO FERNANDO ENRIQUE,FLORES VALENCIA RAMON GERARDO,II,H,H
PARTIDO ACCIÓN NACIONAL,26,DIPUTADO FEDERAL RP,LOPEZ SILVA RUBI LAURA,GARCIA FRIAS MA DOLORES,II,M,M
PARTIDO ACCIÓN NACIONAL,27,DIPUTADO FEDERAL RP,VANOYE CARMONA LUIS TOMAS,ROSAS QUINTANILLA JOSE SALVADOR,II,H,H
PARTIDO ACCIÓN NACIONAL,28,DIPUTADO FEDERAL RP,ACUÑA CONTRERAS YOLANDA OLGA,LIÑÁN SAAVEDRA AMPARO,II,M,M
PARTIDO ACCIÓN NACIONAL,29,DIPUTADO FEDERAL RP,VILLARREAL VILLARREAL LUIS CARLOS,GARCIA GARCIA JOSE REFUGIO,II,H,H
PARTIDO ACCIÓN NACIONAL,30,DIPUTADO FEDERAL RP,HERNANDEZ CAMPOS ALICIA,DIAZ VILLALON ERIKA DE LOS ANGELES,II,M,M
PARTIDO ACCIÓN NACIONAL,31,DIPUTADO FEDERAL RP,RIZO GUADIAN JUAN CUAUTHEMOC,BARRIENTOS CORRALES VICTOR MANUEL,II,H,H
PARTIDO ACCIÓN NACIONAL,32,DIPUTADO FEDERAL RP,VALDEZ ALMAGUER YOLANDA GUADALUPE,CASTAÑEDA VILLARREAL ELDA GRACIELA,II,M,M
PARTIDO ACCIÓN NACIONAL,33,DIPUTADO FEDERAL RP,LOREA SALINAS CARLOS  ALBERTO,LONGORIA AGUILAR ANDRES,II,H,H
PARTIDO ACCIÓN NACIONAL,34,DIPUTADO FEDERAL RP,BOTELLO ALVAREZ MA TERESA,ORTEGA LARA MONICA,II,M,M
PARTIDO ACCIÓN NACIONAL,35,DIPUTADO FEDERAL RP,ANGEL RAMIREZ ISRAEL,ANGEL  HUMBERTO,II,H,H
PARTIDO ACCIÓN NACIONAL,36,DIPUTADO FEDERAL RP,CARRILLO GARCIA ANDREA ISABEL,TAMEZ HERNANDEZ JESSICA JACQUELINE,II,M,M
PARTIDO ACCIÓN NACIONAL,37,DIPUTADO FEDERAL RP,RODRIGUEZ GUERRERO RAUL,GOMEZ RAMOS PEDRO MIGUEL,II,H,H
PARTIDO ACCIÓN NACIONAL,38,DIPUTADO FEDERAL RP,PAREDES ZUÑIGA ERIKA GUADALUPE,RIVERA DELGADO SANDRA,II,M,M
PARTIDO ACCIÓN NACIONAL,39,DIPUTADO FEDERAL RP,DE LUNA ALONSO JOSÉ ROBERTO,LARRAZABAL PIEDRA JORGE ARTURO,II,H,H
PARTIDO ACCIÓN NACIONAL,40,DIPUTADO FEDERAL RP,ZUÑIGA ROMERO MARIANA,ESPINOZA DUQUE YESICA DEYANIRA,II,M,M
PARTIDO ACCIÓN NACIONAL,1,DIPUTADO FEDERAL RP,PATRON LAVIADA CECILIA ANUNCIACION,CASTILLO ESPINOSA MARIA CRISTINA,III,M,M
PARTIDO ACCIÓN NACIONAL,2,DIPUTADO FEDERAL RP,VALENZUELA GONZALEZ CARLOS ALBERTO,MEDINA HERNANDEZ JOSE RICARDO,III,H,H
PARTIDO ACCIÓN NACIONAL,3,DIPUTADO FEDERAL RP,DIAZ JIMENEZ ANTONIA NATIVIDAD,MENDEZ REYES LAURA LETICIA,III,M,M
PARTIDO ACCIÓN NACIONAL,4,DIPUTADO FEDERAL RP,MORALES VAZQUEZ CARLOS ALBERTO,NAVARRO LARA PEDRO AMETH,III,H,H
PARTIDO ACCIÓN NACIONAL,5,DIPUTADO FEDERAL RP,GUZMAN AVILES MARIA  DEL ROSARIO,GARCIA ESCALANTE NOELIA,III,M,M
PARTIDO ACCIÓN NACIONAL,6,DIPUTADO FEDERAL RP,GOMEZ QUEJ JOSE DEL CARMEN,PACHECO CEBALLOS MARIO ENRIQUE,III,H,H
PARTIDO ACCIÓN NACIONAL,7,DIPUTADO FEDERAL RP,GARCIA MORLAN DULCE ALEJANDRA,AQUINO GONZALEZ IRASEMA,III,M,M
PARTIDO ACCIÓN NACIONAL,8,DIPUTADO FEDERAL RP,MARTINEZ ARCILA EDUARDO LORENZO,ARGUELLES ORDOÑEZ CARLOS FELIPE,III,H,H
PARTIDO ACCIÓN NACIONAL,9,DIPUTADO FEDERAL RP,SOLER LANZ SOLANGE MARIA,VAZQUEZ YEE MARIA DEL ROSARIO,III,M,M
PARTIDO ACCIÓN NACIONAL,10,DIPUTADO FEDERAL RP,RODRIGUEZ PRATS JUAN JOSE,BARBA ARROCHA MARCO ANTONIO,III,H,H
PARTIDO ACCIÓN NACIONAL,11,DIPUTADO FEDERAL RP,ZAVALA PENICHE MARIA BEATRIZ,MEX UC GRETTEL REBECA,III,M,M
PARTIDO ACCIÓN NACIONAL,12,DIPUTADO FEDERAL RP,SIU VARGAS JOSE MANUEL,URQUIJO ARRONIZ MANUEL,III,H,H
PARTIDO ACCIÓN NACIONAL,13,DIPUTADO FEDERAL RP,CABALLERO MAY MARIA ASUNCION,MOO CRUZ JOSEFA,III,M,M
PARTIDO ACCIÓN NACIONAL,14,DIPUTADO FEDERAL RP,AGUAYO BURGOS SERGIO ANTONIO,GONZALEZ ROMERO RODOLFO,III,H,H
PARTIDO ACCIÓN NACIONAL,15,DIPUTADO FEDERAL RP,CHIM DZIB GISSEL BELINDA,HERRERA MOSQUEDA GUADALUPE CONCEPCION,III,M,M
PARTIDO ACCIÓN NACIONAL,16,DIPUTADO FEDERAL RP,TELLEZ JUAREZ JOSE RAMON,CRUZ SOSA HONORIO,III,H,H
PARTIDO ACCIÓN NACIONAL,17,DIPUTADO FEDERAL RP,ISIDRO LIMÓN ELIZABETH,SERRANO HERNÁNDEZ LUZ DEL CARMEN,III,M,M
PARTIDO ACCIÓN NACIONAL,18,DIPUTADO FEDERAL RP,CARDEÑA CRUZ JOSE ARTURO,GONZALEZ SANCHEZ CARLOS EDUARDO,III,H,H
PARTIDO ACCIÓN NACIONAL,19,DIPUTADO FEDERAL RP,PECH SIMA ELIZABETH,SIMÁ MAY EUFRACIA,III,M,M
PARTIDO ACCIÓN NACIONAL,20,DIPUTADO FEDERAL RP,ROMERO MARTINEZ SAUL DE JESUS,VELÁZQUEZ SANSORES RAÚL GUSTAVO,III,H,H
PARTIDO ACCIÓN NACIONAL,21,DIPUTADO FEDERAL RP,MARTINEZ SANCHEZ YESENIA,DIAZ CRUZ JENNY ALEJANDRA,III,M,M
PARTIDO ACCIÓN NACIONAL,22,DIPUTADO FEDERAL RP,GARCIA SOSA LUIS MIGUEL,GARCIA FELIX JOSE CRUZ,III,H,H
PARTIDO ACCIÓN NACIONAL,23,DIPUTADO FEDERAL RP,JIMENEZ PELLEGRINI LILIANA BEATRIZ,ARGAEZ PENICHE JENIFFER DEL PILAR,III,M,M
PARTIDO ACCIÓN NACIONAL,24,DIPUTADO FEDERAL RP,FABIAN CARRILLO MARCOS,MEDINA CARRILLO HASSAN,III,H,H
PARTIDO ACCIÓN NACIONAL,25,DIPUTADO FEDERAL RP,PAZ REBOLLEDO MARIA JOSE,XIMENEZ DE SANDOVAL FREGOSO MARTHA ELISA,III,M,M
PARTIDO ACCIÓN NACIONAL,26,DIPUTADO FEDERAL RP,DE LEON VILLARD FITZGERALD,COUTIÑO LOPEZ GUADALUPE LUIS,III,H,H
PARTIDO ACCIÓN NACIONAL,27,DIPUTADO FEDERAL RP,DE LOS SANTOS LARA MARGOT,LOPEZ OVANDO JUANA,III,M,M
PARTIDO ACCIÓN NACIONAL,28,DIPUTADO FEDERAL RP,AYUSO MENDEZ IRVING MANUEL,RAMIREZ TORRES ADAN ANTONIO,III,H,H
PARTIDO ACCIÓN NACIONAL,29,DIPUTADO FEDERAL RP,PALMER ABREU DIANA,ARIAS ARGAEZ CANDIDA,III,M,M
PARTIDO ACCIÓN NACIONAL,30,DIPUTADO FEDERAL RP,GRAJALES COLINA LUIS ANTONIO,MEZA SAMANIEGO ALEJANDRO AUGUSTO,III,H,H
PARTIDO ACCIÓN NACIONAL,31,DIPUTADO FEDERAL RP,LOEZA MOLINA ELSY ANGELINA,GOMEZ MARTIN ALMA LETICIA,III,M,M
PARTIDO ACCIÓN NACIONAL,32,DIPUTADO FEDERAL RP,MARTINEZ ALONSO FERNANDO,FERNANDEZ SALVADOR JUAN,III,H,H
PARTIDO ACCIÓN NACIONAL,33,DIPUTADO FEDERAL RP,MESA GUTIERREZ LYRSA ILIAN,CARRASCO CALIXTO WENDOLYNE,III,M,M
PARTIDO ACCIÓN NACIONAL,34,DIPUTADO FEDERAL RP,AYALA LORIA PABLO ISMAEL,HERRERA HERRERA SANTIAGO LUCIANO,III,H,H
PARTIDO ACCIÓN NACIONAL,35,DIPUTADO FEDERAL RP,VALLADARES COUOH MARTHA GABRIELA,YAM CHABLE MARIA SARA,III,M,M
PARTIDO ACCIÓN NACIONAL,36,DIPUTADO FEDERAL RP,REYES HERNÁNDEZ JULIO ALFREDO,DÍAZ MIRÓN RABASA MANUEL ALEJANDRO,III,H,H
PARTIDO ACCIÓN NACIONAL,37,DIPUTADO FEDERAL RP,MARTÍNEZ BENITEZ ELVIS MARIA,LÓPEZ GÓMEZ ELYMELETH,III,M,M
PARTIDO ACCIÓN NACIONAL,38,DIPUTADO FEDERAL RP,ROLDAN PEREZ RENE,VALLADARES FERRAEZ MANUEL JOAQUIN,III,H,H
PARTIDO ACCIÓN NACIONAL,39,DIPUTADO FEDERAL RP,CHAN PECH MARIA MAGDALENA,MENDEZ KUK ROSALIA,III,M,M
PARTIDO ACCIÓN NACIONAL,40,DIPUTADO FEDERAL RP,LIZAMA VILLALBA JORGE MANUEL,PEREIRA CHAN JORGE ESTEBAN,III,H,H
PARTIDO ACCIÓN NACIONAL,1,DIPUTADO FEDERAL RP,ROMERO HERRERA JORGE,SANCHEZ FLORES MARIO ENRIQUE,IV,H,H
PARTIDO ACCIÓN NACIONAL,2,DIPUTADO FEDERAL RP,DAVILA FERNANDEZ ADRIANA,ORDAZ LLANES BIBIAN EUNICE,IV,M,M
PARTIDO ACCIÓN NACIONAL,3,DIPUTADO FEDERAL RP,ADAME CASTILLO MARCO ANTONIO,DIAZ LARIOS ANDRES,IV,H,H
PARTIDO ACCIÓN NACIONAL,4,DIPUTADO FEDERAL RP,SOBRADO RODRIGUEZ VERONICA MARIA,RODRIGUEZ DE JESUS YOLANDA,IV,M,M
PARTIDO ACCIÓN NACIONAL,5,DIPUTADO FEDERAL RP,CARREON MEJIA CARLOS,BOLAÑOS AZOCAR RAYMUNDO,IV,H,H
PARTIDO ACCIÓN NACIONAL,6,DIPUTADO FEDERAL RP,RIOJAS MARTINEZ ANA LUCIA,GONZALEZ BARRERAS IMELDA NOEMI,IV,M,M
PARTIDO ACCIÓN NACIONAL,7,DIPUTADO FEDERAL RP,MARTINEZ TERRAZAS OSCAR DANIEL,GUTIERREZ HERNANDEZ ANGELO,IV,H,H
PARTIDO ACCIÓN NACIONAL,8,DIPUTADO FEDERAL RP,VARGAS TAPIA GUADALUPE,GONZALEZ SUASTEGUI MARIA ELENA,IV,M,M
PARTIDO ACCIÓN NACIONAL,9,DIPUTADO FEDERAL RP,ALBIZURI MORETT FRANCISCO XABIER,CAÑEDO CARRION JOSE RAFAEL,IV,H,H
PARTIDO ACCIÓN NACIONAL,10,DIPUTADO FEDERAL RP,PEREZ RODRIGUEZ ELIZABETH,GUARNEROS GUTIERREZ NUNILA,IV,M,M
PARTIDO ACCIÓN NACIONAL,11,DIPUTADO FEDERAL RP,DELGADILLO MORENO JOSE MANUEL,PEREZ VELASCO CARLOS HUMBERTO,IV,H,H
PARTIDO ACCIÓN NACIONAL,12,DIPUTADO FEDERAL RP,RANGEL LOPEZ ROSALIA,GONZALEZ BOFILL ALMA PATRICIA,IV,M,M
PARTIDO ACCIÓN NACIONAL,13,DIPUTADO FEDERAL RP,ORTIZ ORTEGA DAVID,SIGUENZA ESCAMILLA SERGIO ALFREDO,IV,H,H
PARTIDO ACCIÓN NACIONAL,14,DIPUTADO FEDERAL RP,LOZANO SANCHEZ TANIA,SANCHEZ SANCHEZ ALEJANDRA,IV,M,M
PARTIDO ACCIÓN NACIONAL,15,DIPUTADO FEDERAL RP,PEREZ TOVAR EDUARDO,RAMIREZ ONTIVEROS BRANDO BARUCH,IV,H,H
PARTIDO ACCIÓN NACIONAL,16,DIPUTADO FEDERAL RP,MARIN MENDEZ AMELIA,REYES CARMONA MONICA,IV,M,M
PARTIDO ACCIÓN NACIONAL,17,DIPUTADO FEDERAL RP,CASARRUBIAS PILEÑO JESUS,BAUTISTA GARCIA GEOVANNY DIDIER,IV,H,H
PARTIDO ACCIÓN NACIONAL,18,DIPUTADO FEDERAL RP,MACHORRO GARZON DENISSE AMANDA,RODRIGUEZ CORTE ERIKA,IV,M,M
PARTIDO ACCIÓN NACIONAL,19,DIPUTADO FEDERAL RP,HERNANDEZ MARTINEZ CARLOS ALBERTO,RODRIGUEZ CORTE RICARDO OMAR,IV,H,H
PARTIDO ACCIÓN NACIONAL,20,DIPUTADO FEDERAL RP,ALMANZA MORENO CORAL,MORENO MUÑOZ ROSA MARIA,IV,M,M
PARTIDO ACCIÓN NACIONAL,21,DIPUTADO FEDERAL RP,TEXIS AGUILAR JUAN CARLOS,PERALTA ORTEGA DAVID JESUS,IV,H,H
PARTIDO ACCIÓN NACIONAL,22,DIPUTADO FEDERAL RP,ANGON SILVA PAOLA ELIZABETH,CID ROMERO CARMELITA,IV,M,M
PARTIDO ACCIÓN NACIONAL,23,DIPUTADO FEDERAL RP,MANJARREZ MENESES IVAN REYNALDO,VINIEGRA ISLAS RODOLFO ALFREDO,IV,H,H
PARTIDO ACCIÓN NACIONAL,24,DIPUTADO FEDERAL RP,MIGUEL HERNANDEZ ELIZABETH,MIGUEL HERNANDEZ MIRIAM,IV,M,M
PARTIDO ACCIÓN NACIONAL,25,DIPUTADO FEDERAL RP,SANCHEZ AGUILAR JOSE,SALAS HERNANDEZ EULOGIO,IV,H,H
PARTIDO ACCIÓN NACIONAL,26,DIPUTADO FEDERAL RP,LEAL RODRIGUEZ MARIA GUADALUPE,CARRASCO ALVAREZ ANDREA LIZET,IV,M,M
PARTIDO ACCIÓN NACIONAL,27,DIPUTADO FEDERAL RP,MOJICA LINARES EMMANUEL ALBERTO,MARTINEZ CATALAN LUIS ENRIQUE,IV,H,H
PARTIDO ACCIÓN NACIONAL,28,DIPUTADO FEDERAL RP,CORONA MUÑOZ MARIA DEL PILAR,CARRION MEJIA BLANCA ESTELA,IV,M,M
PARTIDO ACCIÓN NACIONAL,29,DIPUTADO FEDERAL RP,SOLIS SALAZAR DANIEL,PEREZ ARCE HECTOR EMMANUEL,IV,H,H
PARTIDO ACCIÓN NACIONAL,30,DIPUTADO FEDERAL RP,ACUÑA FIGUEROA AMPARO,ZAVALA GAMBOA JAEL,IV,M,M
PARTIDO ACCIÓN NACIONAL,31,DIPUTADO FEDERAL RP,NAVARRO MENDOZA JORGE ISMAEL,MIGUEL HERNANDEZ JUAN,IV,H,H
PARTIDO ACCIÓN NACIONAL,32,DIPUTADO FEDERAL RP,HERRERA VARGAS ERIKA,REYES ACEVEDO ANA LAURA,IV,M,M
PARTIDO ACCIÓN NACIONAL,33,DIPUTADO FEDERAL RP,MORALES DIAZ AARON,MOCTEZUMA MENESES ERNESTO,IV,H,H
PARTIDO ACCIÓN NACIONAL,34,DIPUTADO FEDERAL RP,LAZARIN GARCIA SONIA DANIELA,MANDUJANO VELAZQUEZ SUSANA,IV,M,M
PARTIDO ACCIÓN NACIONAL,35,DIPUTADO FEDERAL RP,LIRA MARTINEZ FERNANDO ARTURO,BOLAÑOS AZOCAR ALEJANDRO,IV,H,H
PARTIDO ACCIÓN NACIONAL,36,DIPUTADO FEDERAL RP,HERNANDEZ MIRANDA PAULINA LIZETTE,BOLAÑOS GONZALEZ YESICA,IV,M,M
PARTIDO ACCIÓN NACIONAL,37,DIPUTADO FEDERAL RP,FLORES LOPEZ GUSTAVO,CORTES FLORES SERGIO,IV,H,H
PARTIDO ACCIÓN NACIONAL,38,DIPUTADO FEDERAL RP,GARFIAS LOPEZ MARIA DE LOS ANGELES,AHUMADA RODRIGUEZ SILVIA DEL CARMEN,IV,M,M
