NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUPLENTE,CIRCUNSCRIPCION_ELECCION,SEXO_PROP,SEXO_SUP
PARTIDO ACCIÓN NACIONAL,39,DIPUTADO FEDERAL RP,PEREZ  CORDOBA AMADOR OSCAR,AVILA REYES FRANCISCO JAVIER,IV,H,H
PARTIDO ACCIÓN NACIONAL,40,DIPUTADO FEDERAL RP,DE LEON CARMONA MARIA ISABEL,CASTILLO ESCOBEDO ERIKA,IV,M,M
PARTIDO ACCIÓN NACIONAL,1,DIPUTADO FEDERAL RP,RODRIGUEZ RIVERA IVAN ARTURO,SANCHEZ VILLAFUERTE MARIO MANUEL,V,H,H
PARTIDO ACCIÓN NACIONAL,2,DIPUTADO FEDERAL RP,ROJAS HERNANDEZ LAURA ANGELICA,BALANZAR SANCHEZ BEATRIZ,V,M,M
PARTIDO ACCIÓN NACIONAL,3,DIPUTADO FEDERAL RP,PRECIADO RODRIGUEZ JORGE LUIS,ZURROZA BARRERA OSCAR CARLOS,V,H,H
PARTIDO ACCIÓN NACIONAL,4,DIPUTADO FEDERAL RP,SANDOVAL MENDOZA MARIA LIDUVINA,OCON CORONA ELENA GABRIELA,V,M,M
PARTIDO ACCIÓN NACIONAL,5,DIPUTADO FEDERAL RP,TORRES RAMIREZ ADOLFO,AVILES GARCIA ARMANDO,V,H,H
PARTIDO ACCIÓN NACIONAL,6,DIPUTADO FEDERAL RP,ROMERO LEON GLORIA,VITE CRUZ GLORIA ISABEL,V,M,M
PARTIDO ACCIÓN NACIONAL,7,DIPUTADO FEDERAL RP,DIEZ GARGARI PAULO JENARO,GONZALEZ MACEDO CARLOS DAGOBERTO,V,H,H
PARTIDO ACCIÓN NACIONAL,8,DIPUTADO FEDERAL RP,DIAZ FERNANDEZ FATIMA CELESTE,EUSTAQUIO ANDRADE GUADALUPE,V,M,M
PARTIDO ACCIÓN NACIONAL,9,DIPUTADO FEDERAL RP,PADILLA CAMACHO EVERARDO,ROA CHAVEZ HECTOR,V,H,H
PARTIDO ACCIÓN NACIONAL,10,DIPUTADO FEDERAL RP,MONDRAGON GONZALEZ MA. GUADALUPE,VALE PLAZA JESSICA,V,M,M
PARTIDO ACCIÓN NACIONAL,11,DIPUTADO FEDERAL RP,AGUILAR SIERRA EDUARDO ISMAEL,ALBA BUTRON BOGAR,V,H,H
PARTIDO ACCIÓN NACIONAL,12,DIPUTADO FEDERAL RP,ACEVEDO MIGUEL NORMA TERESA,CAÑAS NAVA LOURDES NAYELLI,V,M,M
PARTIDO ACCIÓN NACIONAL,13,DIPUTADO FEDERAL RP,APODACA GARCIA VICTORINO,MARTINEZ ROJO FRANCISCO JESUS,V,H,H
PARTIDO ACCIÓN NACIONAL,14,DIPUTADO FEDERAL RP,PEREZ ESPINOZA ANA GUADALUPE,BAUTISTA MORAN MARIA CONCEPCION,V,M,M
PARTIDO ACCIÓN NACIONAL,15,DIPUTADO FEDERAL RP,SOLIS MARTINEZ CARLOS IGNACIO,CHAVEZ ACOSTA OBED,V,H,H
PARTIDO ACCIÓN NACIONAL,16,DIPUTADO FEDERAL RP,MORENO ZAMORA MARIA REYNA,VALADEZ DE LA ROSA LETICIA,V,M,M
PARTIDO ACCIÓN NACIONAL,17,DIPUTADO FEDERAL RP,GALICIA JIMENEZ CARLOS VALENTIN,LEDESMA CORONA JUAN ANDRES,V,H,H
PARTIDO ACCIÓN NACIONAL,18,DIPUTADO FEDERAL RP,FERNANDEZ HIDALGO LAURA PATRICIA,LOPEZ GONZALEZ MARIA DE LOURDES,V,M,M
PARTIDO ACCIÓN NACIONAL,19,DIPUTADO FEDERAL RP,ESPINOZA DENIZ GREGORIO,RANGEL MARTINEZ GABRIEL,V,H,H
PARTIDO ACCIÓN NACIONAL,20,DIPUTADO FEDERAL RP,RODRIGUEZ GARNICA ALEJANDRA VIRIDIANA,ARVIZU CARREON MARIA KARITINA,V,M,M
PARTIDO ACCIÓN NACIONAL,21,DIPUTADO FEDERAL RP,BAÑOS TINOCO RAUL,RAMIREZ GARCIA CESAR,V,H,H
PARTIDO ACCIÓN NACIONAL,22,DIPUTADO FEDERAL RP,MIRANDA VALENCIA ALONDRA PALOMA,MALDONADO CABRERA MARIA DE LOURDES,V,M,M
PARTIDO ACCIÓN NACIONAL,23,DIPUTADO FEDERAL RP,PAEZ SORIA HANSEL,ZAMUDIO MARQUEZ CARLOS ROBERTO,V,H,H
PARTIDO ACCIÓN NACIONAL,24,DIPUTADO FEDERAL RP,RIVERO FLORES CLAUDIA INES,PEREA MENDOZA TERESA,V,M,M
PARTIDO ACCIÓN NACIONAL,25,DIPUTADO FEDERAL RP,CARBAJAL PEREZ OSCAR FERNANDO,PONCE PRUDENCIO JOSE LUIS,V,H,H
PARTIDO ACCIÓN NACIONAL,26,DIPUTADO FEDERAL RP,CONTRERAS HERNANDEZ NADIA,PEÑA HERNANDEZ MARIA GUADALUPE,V,M,M
PARTIDO ACCIÓN NACIONAL,27,DIPUTADO FEDERAL RP,VELAZQUEZ PEREZ LUIS ALBERTO,GUZMAN LARIOS RAYMUNDO,V,H,H
PARTIDO ACCIÓN NACIONAL,28,DIPUTADO FEDERAL RP,LADINO OCHOA KARINA,ALVAREZ CASTILLO ANA LILIA,V,M,M
PARTIDO ACCIÓN NACIONAL,29,DIPUTADO FEDERAL RP,ARELLANO SANCHEZ MIGUEL ALEJANDRO,VILCHIS ROA DERIK GEOVANI,V,H,H
PARTIDO ACCIÓN NACIONAL,30,DIPUTADO FEDERAL RP,GALINDO MENDOZA RUTH CELENE,ANDRADE CABERTA BLANCA ESTELA,V,M,M
PARTIDO ACCIÓN NACIONAL,31,DIPUTADO FEDERAL RP,GALVEZ ASTORGA VICTOR HUGO,BAZAN ROMERO JOSE LUIS,V,H,H
PARTIDO ACCIÓN NACIONAL,32,DIPUTADO FEDERAL RP,FUENTES BONILLA JANET,DEL CASTILLO GARCIA LETICIA ELIZABETH,V,M,M
PARTIDO ACCIÓN NACIONAL,33,DIPUTADO FEDERAL RP,VENTURA ZAMORA JAIME ARNOLDO,ARIAS GUERRERO JOSE,V,H,H
PARTIDO ACCIÓN NACIONAL,34,DIPUTADO FEDERAL RP,PINEDA DOMINGUEZ TAIDE,RUBIO JUAREZ YOLANDA,V,M,M
PARTIDO ACCIÓN NACIONAL,35,DIPUTADO FEDERAL RP,OSUNA LUVIANO OSCAR HUMBERTO,CARDENAS BRAVO LUIS FRANCISCO,V,H,H
PARTIDO ACCIÓN NACIONAL,36,DIPUTADO FEDERAL RP,LOPEZ SAUCEDO SOFIA CANDELARIA,PEREZ NARANJO ALMA DELIA,V,M,M
PARTIDO ACCIÓN NACIONAL,37,DIPUTADO FEDERAL RP,VAZQUEZ SAN JUAN HUGO DANIEL,FLORES URIBE FERNANDO,V,H,H
PARTIDO ACCIÓN NACIONAL,38,DIPUTADO FEDERAL RP,RAMIREZ PEREZ GABRIELA,LEGORRETA JIMENEZ ALMA,V,M,M
PARTIDO ACCIÓN NACIONAL,39,DIPUTADO FEDERAL RP,QUIROZ FERNANDEZ EDGAR ELOY,CRUZ CARRIZO LORENZO,V,H,H
PARTIDO ACCIÓN NACIONAL,40,DIPUTADO FEDERAL RP,GOMEZ PINTOR BRENDA IVONNE,VALLEJO BENITEZ SANDRA DENISE,V,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,DIPUTADO FEDERAL RP,MEDINA HERRERA BENITO,AGUILAR  DIEGO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,DIPUTADO FEDERAL RP,SANCHEZ MARTINEZ LOURDES ERIKA,ALCALDE CASTRO REYNALDA BERENICE,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,3,DIPUTADO FEDERAL RP,VILLEGAS ARREOLA ALFREDO,BARROSO AGRAMONT RICARDO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,4,DIPUTADO FEDERAL RP,TERAN VILLALOBOS IRMA MARIA,ARRIZON MARINA JEANETTE,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,5,DIPUTADO FEDERAL RP,GONZALEZ CUEVAS ISAIAS,ALFARO PAGAZA JOSE DAVID,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,6,DIPUTADO FEDERAL RP,NOROÑA QUEZADA HORTENSIA MARIA LUISA,MORENO ARGUELLES GUADALUPE JANNETH,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,7,DIPUTADO FEDERAL RP,HERNANDEZ DERAS ISMAEL ALFREDO,JAMES BAROUSSE CRISTOPHER DANIEL,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,8,DIPUTADO FEDERAL RP,FLORES SANCHEZ MARGARITA,MERINO CUEVAS MIRIAM DEL SOL,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,9,DIPUTADO FEDERAL RP,VEGA AGUILAR LUIS,BARBA MARISCAL MARCO ANTONIO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,10,DIPUTADO FEDERAL RP,CISNEROS RUIZ GABRIELA,SILERIO BERUMEN ARACELY,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,11,DIPUTADO FEDERAL RP,ZAMORA JIMENEZ ARTURO,SIMON DE LA MADRID MISAEL ALEJANDRO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,12,DIPUTADO FEDERAL RP,HINOJOSA TAOMORI KARINA ALEJANDRA,VALENZUELA LANGARICA CINTHIA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,13,DIPUTADO FEDERAL RP,COTA JIMENEZ MANUEL HUMBERTO,CORDOVA MARTINEZ JULIO CESAR,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,14,DIPUTADO FEDERAL RP,NUÑEZ GONZALEZ ALMA ROSA,LARA RIVERA DANIELA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,15,DIPUTADO FEDERAL RP,MURGUIA LARDIZABAL HECTOR AGUSTIN,PADILLA CRUZ PABLO ANTONIO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,16,DIPUTADO FEDERAL RP,URIARTE RIVERA CIELO KELLY,GANDARA  BLANCA LILIA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,17,DIPUTADO FEDERAL RP,GOMEZ CAMPOS ROBERTO,GAMEZ GAMBOA FROYLAN,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,18,DIPUTADO FEDERAL RP,ANTUNEZ GARCIA ALMA LORENA,NOLASCO TAMAYO ROSA SARAI,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,19,DIPUTADO FEDERAL RP,GUTIERREZ HOPKINS JOSE GABRIEL,CORRAL GONZALEZ HUGO ALBERTO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,20,DIPUTADO FEDERAL RP,BAEZ CECEÑA LESLIE YAMILETH,RAMIREZ MAJALCA BRISSA SARAHI,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,21,DIPUTADO FEDERAL RP,PEREZ MARTINEZ SEBASTIAN JOSE DE JESUS,OCEGUEDA MARTINEZ ALFONSO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,22,DIPUTADO FEDERAL RP,MINJAREZ GUZMAN MAGDA SELENE,ARCE DAVIS MARCELA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,23,DIPUTADO FEDERAL RP,VARGAS TORRES GERARDO OCTAVIO,GUERRA LOPEZ LUIS GREGORIO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,24,DIPUTADO FEDERAL RP,CHAVEZ JACINTO JOHANNA ESTHELA,GONZALEZ ANCHONDO MARIA ELVIRA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,25,DIPUTADO FEDERAL RP,PADILLA CRUZ RICARDO,VILLALOBOS GARCIA FERNANDO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,26,DIPUTADO FEDERAL RP,DAVALOS MENDEZ ROSA ISELA,CALZADA GARCIA INGRID DEYANIRA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,27,DIPUTADO FEDERAL RP,HARO VILLAESCUSA JOSE ROBERTO,CORONADO RUIZ DANIEL ALBERTO,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,28,DIPUTADO FEDERAL RP,CARRILLO GARCIA FLOR JAZMIN,SOLIS LUNA KARLA TERESA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,29,DIPUTADO FEDERAL RP,GONZALEZ ESTRADA LUIS MANUEL,AYON CASTRO OSCAR ADRIAN,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,30,DIPUTADO FEDERAL RP,LOPEZ SOTELO ANA ELIZABETH,SALAZAR SILVA GLORIA IVETTE,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,31,DIPUTADO FEDERAL RP,SOTO JACQUEZ LUIS FERNANDO,CASTRO VARGAS JUAN CARLOS,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,32,DIPUTADO FEDERAL RP,CANCELADO,BARRETO CHAVEZ MAYELA GABRIELA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,33,DIPUTADO FEDERAL RP,MUÑOZ ESCOBAR JESUS HECTOR,GUERECA CAMPOS ERNESTO DANIEL,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,34,DIPUTADO FEDERAL RP,RIOS SOTO NANCY,ROMERO AGUIRRE FIDELA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,35,DIPUTADO FEDERAL RP,BLAS RAMOS JOEL ABRAHAM,ALVARADO HIGUERA ELEAZAR,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,36,DIPUTADO FEDERAL RP,DOMINGUEZ SANDOVAL ZULEMA,VALADEZ RUIZ ANDREA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,37,DIPUTADO FEDERAL RP,CAYEROS PEREZ RAMON ALBERTO,LOPEZ SOTO FELIPE,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,38,DIPUTADO FEDERAL RP,TORRES RODRIGUEZ SUGHEY ADRIANA,CAMARGO VEGA SARA MARIA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,39,DIPUTADO FEDERAL RP,CASAS SERRATO ALDO IVAN,VARGAS FLORES MARTIN JAVIER,I,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,40,DIPUTADO FEDERAL RP,GOMEZ JUAREZ ESTHER EVELIA,PEREZ REALZOLA NORMA ELISA,I,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,DIPUTADO FEDERAL RP,ALVAREZ GARCIA IVONNE LILIANA,MORALES TIJERINA ROSA ELIA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,DIPUTADO FEDERAL RP,TREVIÑO VILLARREAL PEDRO PABLO,MACIAS PEREZ SIGFRIDO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,3,DIPUTADO FEDERAL RP,RODRIGUEZ MIER Y TERAN MARIANA,SILLER ZUÑIGA DELIA MARGARITA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,4,DIPUTADO FEDERAL RP,MOREIRA VALDEZ RUBEN IGNACIO,VERDUZCO GONZALEZ RAMON,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,5,DIPUTADO FEDERAL RP,AZUARA YARZABAL FRINNE,ABOYTES GONZALEZ EUGENIA GUADALUPE,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,6,DIPUTADO FEDERAL RP,PAVON CAMPOS CARLOS,LUGO LEDESMA ALBERTO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,7,DIPUTADO FEDERAL RP,ALEMAN MUÑOZ CASTILLO MARIA,LOPEZ VILLARREAL SONIA MARTHA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,8,DIPUTADO FEDERAL RP,CAMPOS CORDOVA LENIN NELSON,MIGUEL HERNANDEZ RAMIRO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,9,DIPUTADO FEDERAL RP,GUEL SALDIVAR NORMA ADELA,DE LA ROSA CORTES LILY FABIOLA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,10,DIPUTADO FEDERAL RP,GOMEZ VILLANUEVA AUGUSTO,VAZQUEZ CHAVOLLA IGNACIO ERNESTO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,11,DIPUTADO FEDERAL RP,GOMEZ RIVAS MARIA CRISTINA,CEPEDA ALVAREZ ANA LUISA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,12,DIPUTADO FEDERAL RP,DIP LEOS SALOMON JUAN,GLORIA REQUENA TOMAS,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,13,DIPUTADO FEDERAL RP,LOREDO GARCIA ALETHIA,ORTIZ ELIAS ALINA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,14,DIPUTADO FEDERAL RP,MERY AYUP MIGUEL FELIPE,VILLARREAL SUDAY MARCOS,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,15,DIPUTADO FEDERAL RP,ALMARAZ HERRERA LOURDES GUADALUPE,MONCADA ZERTUCHE MARTHA ELENA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,16,DIPUTADO FEDERAL RP,RIVERA CASTRELLON SALVADOR,GARCIA HERNANDEZ LUIS ENRIQUE,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,17,DIPUTADO FEDERAL RP,ACEVEDO BUENO MARIBEL,MORALES DURAN VIRGINIA ANAHI,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,18,DIPUTADO FEDERAL RP,RAMOS SALINAS RAMIRO,RODRIGUEZ GARCIA ERI,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,19,DIPUTADO FEDERAL RP,NAVARRO BAHENA KARLA CECILIA,MEDINA DEL ANGEL MARIA DE JESUS,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,20,DIPUTADO FEDERAL RP,LOPEZ SEPULVEDA MAURICIO ALONSO,LUGO GONZALEZ JOSE ULISES,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,21,DIPUTADO FEDERAL RP,RODRIGUEZ DE ALBA MARIA DEL CONSUELO RAFAELA,CANTU RODRIGUEZ CINTHYA ELENA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,22,DIPUTADO FEDERAL RP,PEREZ CALLEJA DAVID,PEREZ HERNANDEZ HORACIO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,23,DIPUTADO FEDERAL RP,ARMENDARIZ LOUREIRO KAREN PILAR,BURCIAGA NEME LATIFFE ELOISA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,24,DIPUTADO FEDERAL RP,LOZANO JAUREGUI CLAUDIO DAVID,ESPINOSA RODRIGUEZ JORGE ADRIAN,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,25,DIPUTADO FEDERAL RP,GARZA RODRIGUEZ MA OLGA,RUIZ SIFUENTES AMERICA ISABEL,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,26,DIPUTADO FEDERAL RP,GONZALEZ GARCIA PABLO CESAR,ZUÑIGA ZAVALA GERARDO ALEJANDRO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,27,DIPUTADO FEDERAL RP,SANCHEZ ASTELLO JUANA MARIA,GALVAN SILVA SOFIA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,28,DIPUTADO FEDERAL RP,VALDEZ RICHAUD HUMBERTO,PEREZ MORALES HORACIO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,29,DIPUTADO FEDERAL RP,SARMIENTO DE LOS SANTOS KENIA JESSMIN,FANTINI CARDENAS ROSSANA PATRICIA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,30,DIPUTADO FEDERAL RP,PEREZ GUZMAN HECTOR RAUL,URBANO MERCED PEDRO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,31,DIPUTADO FEDERAL RP,VILLAREAL RODRIGUEZ DELIA MARTA,GUERRA VALLEJO ALMA MARIA DEL ROSARIO,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,32,DIPUTADO FEDERAL RP,TREVIÑO HERNANDEZ JAVIER MANUEL,MIER MONTERO JOSE RAMON,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,33,DIPUTADO FEDERAL RP,GALICIA LOPEZ IRMA GUADALUPE,POSADA DELGADILLO MARICELA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,34,DIPUTADO FEDERAL RP,GRIMALDO HERNANDEZ ERIK EMILIO,DIAZ LARA BRUNO AROLDO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,35,DIPUTADO FEDERAL RP,CORTINA GARCIA ALMA MIREYA,ROSALES GARCIA GRECIA LUCIA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,36,DIPUTADO FEDERAL RP,TERASHIMA ZAMORA IVAN,MENDOZA MORENO RENE,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,37,DIPUTADO FEDERAL RP,GAMBOA BRIANO YESSICA LORENA,GARCIA SALAS GLORIA,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,38,DIPUTADO FEDERAL RP,RODRIGUEZ GUZMAN ERI,PERERA CALZADA BERNARDO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,39,DIPUTADO FEDERAL RP,GUERRERO ESQUIVEL FUENSANTA GUADALUPE,CARREON TREVIÑO MELISA DEL ROSARIO,II,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,40,DIPUTADO FEDERAL RP,RIVAS AGUILERA EMILIO MANUEL,OROZCO NAVARRO EDGAR ALEJANDRO,II,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,DIPUTADO FEDERAL RP,ORTIZ GUARNEROS JUAN,CERON MOLINA ALEJANDRO JESUS,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,DIPUTADO FEDERAL RP,SAURI RIANCHO DULCE MARIA,FAMANIA RUIZ JULIETA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,3,DIPUTADO FEDERAL RP,YUNES LANDA HECTOR,MARTINEZ ZALETA EDMUNDO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,4,DIPUTADO FEDERAL RP,PEREZ MUNGUIA SORAYA,FRANCO LOPEZ PALOMA ALEJANDRA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,5,DIPUTADO FEDERAL RP,ANGULO BRICEÑO PABLO GUILLERMO,CRUZ RAMIREZ VICENTE EXIQUIO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,6,DIPUTADO FEDERAL RP,INGRAM VALLINES ANILU,GONZALEZ CAUICH MAYUSA ISOLINA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,7,DIPUTADO FEDERAL RP,LIMON HERNANDEZ MANUEL,ESPINOSA MORALES JOSE JULIO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,8,DIPUTADO FEDERAL RP,HUERTA SALGADO MARIA CONCEPCION,EVIA MUNGUIA GABRIELA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,9,DIPUTADO FEDERAL RP,AGUIRRE OCHOA SAMUEL,ABURTO ANDRADE JESUS DANIEL,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,10,DIPUTADO FEDERAL RP,NASSAR PIÑEYRO MARIANA ERANDI,RODRIGUEZ VILLANUEVA JUDITH,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,11,DIPUTADO FEDERAL RP,SUAREZ LICONA EMILIO,OXTE CONRADO PEDRO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,12,DIPUTADO FEDERAL RP,BEAURREGARD DE LOS SANTOS LORENA,JACOBO ACOSTA ANA YADIRA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,13,DIPUTADO FEDERAL RP,KIDNIE DE LA CRUZ VICTOR MANUEL,LLITERAS BUENFIL CELSO RAJHIV ISAAC,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,14,DIPUTADO FEDERAL RP,OLVERA MEJIA MARIA DE JESUS,SANTIAGO SOSA BETZABE ITZAYANA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,15,DIPUTADO FEDERAL RP,BERLIN MONTERO JORGE CARLOS,PACHECO LICONA JULIO CESAR,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,16,DIPUTADO FEDERAL RP,KELLEHER HERNANDEZ VANIA MARIA,CASTILLO BARRERA OLGA FERNANDA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,17,DIPUTADO FEDERAL RP,HERRERA OCAÑA FRANCISCO ANTONIO,MARTINEZ RUIZ LUIS ANGEL,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,18,DIPUTADO FEDERAL RP,HERNANDEZ HERNANDEZ GUILLERMINA,ROMAN CUEVAS ELEUTERIA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,19,DIPUTADO FEDERAL RP,MOJICA LIMON ASBEL,HERNANDEZ LOPEZ MOISES,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,20,DIPUTADO FEDERAL RP,CABRERA DOMINGUEZ HILDA,FELIX ALVAREZ MARIAN  ITZEL,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,21,DIPUTADO FEDERAL RP,PARADA MARQUEZ JOSE JUAN,GUZMAN CRUZ GUALBERTO ADAIR,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,22,DIPUTADO FEDERAL RP,AMBROSIO HERNANDEZ MARIA JOSE,OSORIO ROJAS CINTIA ESTEFANNY,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,23,DIPUTADO FEDERAL RP,RIOS RIOS DANIEL,LOPEZ ARELLANO BRAYAN HERMINIO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,24,DIPUTADO FEDERAL RP,TRAVA HERRERA LETICIA,TELLEZ RUEDA ARELI RACHEL,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,25,DIPUTADO FEDERAL RP,ESTRADA VELARDE SANTIAGO ROBERTO,MAGAÑA PACHECO EDUARDO ENRIQUE,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,26,DIPUTADO FEDERAL RP,PERERA GUTIERREZ ANGELA MARIA,PEREZ PENICHE AILIN ALHELI,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,27,DIPUTADO FEDERAL RP,CRUZ ARJONA JESUS ANTONIO,OJEDA GARCIA ANGEL ALEJANDRO,III,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,28,DIPUTADO FEDERAL RP,HERNANDEZ MATUS NIZA BIAANI,ROJANO PAZZI ADRIANA,III,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,29,DIPUTADO FEDERAL RP,OJEDA NOVELO ERIK ALEJANDRO,GUDIÑO CASTRO PEDRO,III,H,H
