ESTADO_ELECCION,NOMBRE_ASOCIACION,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,DISTRITO_ELECCION,SEXO_PROP,SEXO_SUP
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,URIBE ESQUIVEL MARICELA,REYES ESCOBAR ERIKA DEL CARMEN,14-MINATITLAN,M,M
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,CHAHIN MALULY HUGO,CASTELAN CRIVELLI GUARINO,15-ORIZABA,H,H
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,ARRONIZ DE LA HUERTA MARIA SOL,HERNANDEZ ALMANZA DENISSE,16-CORDOBA,M,M
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,DELFIN CANO TITO,CAMACHO AGUILAR JORGE ALBERTO,17-COSAMALOAPAN,H,H
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,GARCIA LOPEZ DULCE MARIA,MERINO MACHORRO ILEANA SARAI,18-ZONGOLICA,M,M
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,FARARONI MORTERA RAFAEL,RUIZ BARROSO OCTAVIO JAIME,19-SAN ANDRES TUXTLA,H,H
VERACRUZ,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,ZETINA COLI JESSICA MARGARITA,CADENA ALEMAN IRLANDA DE JESUS,20-COSOLEACAQUE,M,M
YUCATAN,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,ARGAEZ CEPEDA MANUEL JESUS,ORTEGON LOPEZ WILBERT DE JESUS,1-VALLADOLID,H,H
YUCATAN,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,SANTOS DIAZ INGRID DEL PILAR,GAMBOA RASSAM KARLA JANINE,2-PROGRESO,M,M
YUCATAN,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,PATRON LAVIADA CECILIA ANUNCIACION,SALAZAR AZCORRA MARISSA AURORA,3-MERIDA,M,M
YUCATAN,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,LIXA ABIMERHI JOSE ELIAS,ARAGON CASTILLO MARIO ENMANUEL,4-MERIDA,H,H
YUCATAN,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,CASTILLO NOVELO SARA GUADALUPE,MORALES ORDAZ OFELIA ESTHER,5-TICUL,M,M
ZACATECAS,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,MARTINEZ ARIAS MARIA DE LOURDES,SANTOS GAUCIN ANA LIZBETH,1-FRESNILLO,M,M
ZACATECAS,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,CERVANTES GONZALEZ MARIO,NUÑEZ CAMPOS CARLOS ALONSO,2-JEREZ DE GARCIA SALINAS,H,H
ZACATECAS,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,ORTEGA CORTES MARIA ELENA,BUERBA SAURI SARA GUADALUPE,3-ZACATECAS,M,M
ZACATECAS,POR MÉXICO AL FRENTE,DIPUTADO FEDERAL MR,LOZANO ALDRETE ROSA MARIA,MORA RODRIGUEZ HILDA ELISA,4-GUADALUPE,M,M
CHIAPAS,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GOMEZ ALVAREZ OBILFRIDO,AGUILAR GALDAMEZ FERNANDO,10-VILLAFLORES,H,H
CHIHUAHUA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,CORDOVA BERNAL MARTHA BEATRIZ,GONZALEZ GARCIA PAULINA,1-JUAREZ,M,M
CHIHUAHUA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GANSER CARBAJAL JURGEN,PALACIOS ORTIZ CESAR JAVIER,2-JUAREZ,H,H
CHIHUAHUA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,PÉREZ RUIZ IVÁN ANTONIO,SIERRA CHAVEZ ALFREDO,3-JUAREZ,H,H
CHIHUAHUA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,PEREZ REYES MARIA ANTONIETA,QUIROZ JAQUEZ MARIA ISABEL,4-JUAREZ,M,M
GUANAJUATO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,NIETO MARTINEZ DANIEL,PEREZ PEREZ RUTH ALEJANDRA,12-CELAYA,H,M
GUERRERO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,HERNANDEZ HERRERA MARIO,RIOS RADILLA FRANCISCA,3-ZIHUATANEJO,H,M
GUERRERO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GOMEZ DE LA CRUZ IRIS PAOLA,CALDERON RAMIREZ DECIRET ELIZABETH,4-ACAPULCO,M,M
GUERRERO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ECHEVERRIA VALENZUELA VICTOR JOEL,VAZQUEZ CARRASCO KARLA ROCIO,5-TLAPA,H,M
HIDALGO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,SANCHEZ QUIROZ JULIO HUGO,DOMINGUEZ RODRIGUEZ ENRIQUE,2-IXMIQUILPAN,H,H
JALISCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,MONTAÑO BECKMANN PABLO RICARDO,QUINTERO CASILLAS ALVARO,8-GUADALAJARA,H,H
JALISCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,CERDA CORNEJO RODRIGO,ESPINOZA CRUZ SERGIO HUMBERTO,10-ZAPOPAN,H,H
JALISCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,VALENCIA BAÑUELOS ALBERTO,VICENCIO HUERTA MARIA,13-TLAQUEPAQUE,H,M
JALISCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GOMEZ MARQUINA ANIBAL,SOTO DE ANDA JOSE FRANCISCO,16-TLAQUEPAQUE,H,H
MICHOACAN,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,MANZO RODRIGUEZ CARLOS ALBERTO,BAUTISTA TAFOLLA CARLOS ALEJANDRO,9-URUAPAN DEL PROGRESO,H,H
MICHOACAN,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,CALDERON HINOJOSA LUISA MARIA DE GUADALUPE,PEREZ GALLARDO FABIOLA ADRIANA,10-MORELIA,M,M
MORELOS,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ALTAFI VALLADARES DANIEL,DAVIS CONTRERAS RODOLFO,1-CUERNAVACA,H,H
MORELOS,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ALONSO PLASCENCIA ENRIQUE,LOPEZ MARBAN CARLOS JAVIER,4-JOJUTLA,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GONZALEZ RODRIGUEZ DANIELA,SALINAS SANCHEZ ELIZABETH,3-GRAL. ESCOBEDO,M,M
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,VALDEZ HERNANDEZ ROLANDO IVAN,RODRIGUEZ HERNANDEZ MANUEL ALEJANDRO,3-GRAL. ESCOBEDO,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,TREVIÑO HINOJOSA OLGA VALENTINA,GUERRERO AGUIRRE ROSA ELENA,4-SAN NICOLAS DE LOS GARZA,M,M
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,FARIAS MATEOS GREGORIO,ZEGOVIA AGUILAR FERNANDO ISRAEL,5-MONTERREY,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ORDUÑA SAIDE YAMILETT,MORALES FLORES DAMARIS DIOSELIN,7-GARCIA,M,M
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,BARROSO CORREA ANGEL ALBERTO,SOLIS GONZALEZ RODRIGO DANIEL,8-GUADALUPE,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,SILLER ROJAS JESUS,TREVIÑO CEPEDA JESUS MANUEL,9-LINARES,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ELIZONDO CANTU DAVID EUGENIO,CAMPUZANO GONZALEZ NORA ALICIA,10-MONTERREY,H,M
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,BENAVIDES GARZA LUIS ANGEL,AYALA SANTIAGO GABINO,11-GUADALUPE,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,GUAJARDO CANTU RAUL,LEAL REGALADO JOSE ANGEL,12-BENITO JUAREZ,H,H
OAXACA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,CRUZ JUAREZ ALEJANDRO ERIC,SANTOS MARTINEZ CESAR,6-HEROICA CIUDAD DE TLAXIACO,H,H
SINALOA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,LOPEZ DE SANTA ANNA BAEZA PAUL ALFONSO,GRANDE MONGE SULLIVAN MELISSA,2-LOS MOCHIS,H,M
SINALOA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ALFARO BEDOYA JESUS HUMBERTO,CARRILLO OSORIO JOSE GUADALUPE,5-CULIACAN DE ROSALES,H,H
SONORA,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,VALENZUELA GALLEGOS JOSE TERENCIO,HERNANDEZ VALENZUELA RAFAEL ERNESTO,6-CD. OBREGON,H,H
TABASCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,PARRA LOPEZ MARIA GRACIELA,ZACARIAS LOPEZ SILVIA,1-MACUSPANA,M,M
TABASCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,ESTRADA CALLES NORA VANESSA,ORTIZ CORNELIO MARIA DEL ROCIO,2-HEROICA CARDENAS,M,M
TABASCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,CORDOVA COBOS CARLOS ARTURO,MARTINEZ BOLAINA ANA PATRICIA,3-COMALCALCO,H,M
TABASCO,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,OSORIO PEREZ JULIO CESAR,BAEZA PEREYRA ANDRES,6-VILLAHERMOSA,H,H
TAMAULIPAS,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,BARRAGAN NUÑO PEDRO GUSTAVO,HERNANDEZ GARCIA JULIO ALEJANDRO,7-CIUDAD MADERO,H,H
TAMAULIPAS,CANDIDATURA INDEPENDIENTE,DIPUTADO FEDERAL MR,MANZUR OUDIE JUAN JESUS ANTONIO,FERNANDEZ GUARDADO MARIA DEL SAGRARIO,8-TAMPICO,H,M
